"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: mapType","Param: size"
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves:totalSize","ss",1,1,"7280,000000",NaN,"#",SYNCHRONIZED_TREE_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves","ss",1,1,"1,264486",NaN,"s/op",SYNCHRONIZED_TREE_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves:totalSize","ss",1,1,"720080,000000",NaN,"#",SYNCHRONIZED_TREE_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves","ss",1,1,"13,766830",NaN,"s/op",SYNCHRONIZED_TREE_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves:totalSize","ss",1,1,"72000080,000000",NaN,"#",SYNCHRONIZED_TREE_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves","ss",1,1,"0,993239",NaN,"s/op",RW_SYNCHRONIZED_HASH_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves:totalSize","ss",1,1,"192,000000",NaN,"#",RW_SYNCHRONIZED_HASH_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves","ss",1,1,"1,034897",NaN,"s/op",RW_SYNCHRONIZED_HASH_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves:totalSize","ss",1,1,"10704,000000",NaN,"#",RW_SYNCHRONIZED_HASH_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves","ss",1,1,"1,157930",NaN,"s/op",RW_SYNCHRONIZED_HASH_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves:totalSize","ss",1,1,"902352,000000",NaN,"#",RW_SYNCHRONIZED_HASH_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves","ss",1,1,"8,882346",NaN,"s/op",RW_SYNCHRONIZED_HASH_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves:totalSize","ss",1,1,"97554640,000000",NaN,"#",RW_SYNCHRONIZED_HASH_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves","ss",1,1,"1,000775",NaN,"s/op",RW_SYNCHRONIZED_TREE_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves:totalSize","ss",1,1,"192,000000",NaN,"#",RW_SYNCHRONIZED_TREE_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves","ss",1,1,"1,016047",NaN,"s/op",RW_SYNCHRONIZED_TREE_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves:totalSize","ss",1,1,"7392,000000",NaN,"#",RW_SYNCHRONIZED_TREE_MAP,100
