"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: mapType","Param: seed"
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_32_16777216","ss",32,15,"922,689381","120,419301","ms/op",CONCURRENT_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_32_16777216","ss",32,15,"8110,337272","3087,938312","ms/op",NON_BLOCKING_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_32_16777216","ss",32,15,"3582,046479","96,042451","ms/op",SHARDED_TREE_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_32_16777216","ss",32,15,"5011,054315","172,251537","ms/op",LOCK_FREE_CHROMATIC_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_4_1048576","ss",4,15,"115,964880","3,337130","ms/op",SYNCHRONIZED_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_4_1048576","ss",4,15,"367,689280","49,335665","ms/op",SYNCHRONIZED_TREE_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_4_1048576","ss",4,15,"97,670570","9,168569","ms/op",RW_SYNCHRONIZED_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_4_1048576","ss",4,15,"643,764308","53,243889","ms/op",RW_SYNCHRONIZED_TREE_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_4_1048576","ss",4,15,"60,554137","6,062045","ms/op",CONCURRENT_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_4_1048576","ss",4,15,"351,878210","71,258240","ms/op",NON_BLOCKING_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_4_1048576","ss",4,15,"494,373512","22,171466","ms/op",SHARDED_TREE_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_4_1048576","ss",4,15,"366,232398","8,687794","ms/op",LOCK_FREE_CHROMATIC_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_4_16384","ss",4,15,"4,087520","0,726948","ms/op",SYNCHRONIZED_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_4_16384","ss",4,15,"8,997147","1,065016","ms/op",SYNCHRONIZED_TREE_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_4_16384","ss",4,15,"4,007095","0,599045","ms/op",RW_SYNCHRONIZED_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_4_16384","ss",4,15,"8,614340","1,329383","ms/op",RW_SYNCHRONIZED_TREE_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_4_16384","ss",4,15,"4,406477","0,663406","ms/op",CONCURRENT_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_4_16384","ss",4,15,"19,402340","2,174941","ms/op",NON_BLOCKING_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_4_16384","ss",4,15,"10,991870","1,635078","ms/op",SHARDED_TREE_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_4_16384","ss",4,15,"20,382202","0,931019","ms/op",LOCK_FREE_CHROMATIC_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_4_16777216","ss",4,15,"2681,954150","240,515083","ms/op",SYNCHRONIZED_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_4_16777216","ss",4,15,"18362,031302","650,098477","ms/op",SYNCHRONIZED_TREE_MAP,42
