"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: keyDistribution","Param: keyRange","Param: mapType","Param: prefillFactor","Param: seed"
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:put3","thrpt",16,15,"12168,727083","1884,311624","ops/ms",SEQUENTIAL,10000,SYNCHRONIZED_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:remove1","thrpt",16,15,"389,287540","191,378568","ops/ms",SEQUENTIAL,10000,SYNCHRONIZED_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1","thrpt",16,15,"14035,587128","643,249578","ops/ms",SEQUENTIAL,10000,SYNCHRONIZED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:get12","thrpt",16,15,"9079,506185","1102,068795","ops/ms",SEQUENTIAL,10000,SYNCHRONIZED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:put3","thrpt",16,15,"3127,118623","554,352585","ops/ms",SEQUENTIAL,10000,SYNCHRONIZED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:remove1","thrpt",16,15,"1828,962320","519,115506","ops/ms",SEQUENTIAL,10000,SYNCHRONIZED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1","thrpt",16,15,"14284,281001","1585,539973","ops/ms",SEQUENTIAL,10000,RW_SYNCHRONIZED_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:get12","thrpt",16,15,"7573,920691","1075,158520","ops/ms",SEQUENTIAL,10000,RW_SYNCHRONIZED_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:put3","thrpt",16,15,"4759,279756","529,912522","ops/ms",SEQUENTIAL,10000,RW_SYNCHRONIZED_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:remove1","thrpt",16,15,"1951,080554","197,275328","ops/ms",SEQUENTIAL,10000,RW_SYNCHRONIZED_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1","thrpt",16,15,"7580,063176","717,998298","ops/ms",SEQUENTIAL,10000,RW_SYNCHRONIZED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:get12","thrpt",16,15,"5268,692980","531,209576","ops/ms",SEQUENTIAL,10000,RW_SYNCHRONIZED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:put3","thrpt",16,15,"1567,256791","225,470420","ops/ms",SEQUENTIAL,10000,RW_SYNCHRONIZED_TREE_MAP,0.5,42
